0.5,231
1.5,336
2.5,600
3.5,1143
4.5,1471
5.5,1815
6.5,1915
7.5,1909
8.5,2010
9.5,2258
10.5,2356
11.5,2349
12.5,2296
13.5,2125
14.5,2147
15.5,2235
16.5,2238
17.5,1904
18.5,1346
19.5,877
20.5,542
21.5,414
22.5,366
23.5,327
24.5,328
25.5,420
26.5,636
27.5,1141
28.5,1485
29.5,1844
30.5,1922
31.5,1924
32.5,2035
33.5,2291
34.5,2287
35.5,2084
36.5,2000
37.5,1940
38.5,1882
39.5,2094
40.5,2076
41.5,1814
42.5,1296
43.5,857
44.5,569
45.5,428
46.5,360
47.5,314
48.5,311
49.5,391
50.5,651
51.5,1158
52.5,1471
53.5,1761
54.5,1840
55.5,1797
56.5,1822
57.5,1961
58.5,1922
59.5,1840
60.5,1757
61.5,1637
62.5,1621
63.5,1652
64.5,1649
65.5,1527
66.5,1206
67.5,915
68.5,650
69.5,450
70.5,376
71.5,309
72.5,285
73.5,299
74.5,359
75.5,507
76.5,783
77.5,1118
78.5,1394
79.5,1489
80.5,1586
81.5,1622
82.5,1626
83.5,1651
84.5,1710
85.5,1650
86.5,1572
87.5,1553
88.5,1619
89.5,1545
90.5,1337
91.5,1011
92.5,726
93.5,492
94.5,393
95.5,292
96.5,238
97.5,232
98.5,301
99.5,450
100.5,784
101.5,1300
102.5,1758
103.5,1946
104.5,2111
105.5,2207
106.5,2183
107.5,2204
108.5,2336
109.5,2215
110.5,2285
111.5,2311
112.5,2244
113.5,1974
114.5,1437
115.5,966
116.5,596
117.5,394
118.5,317
119.5,257
120.5,244
121.5,335
122.5,589
123.5,1097
124.5,1496
125.5,1857
126.5,2002
127.5,2036
128.5,2105
129.5,2379
130.5,2397
131.5,2343
132.5,2083
133.5,2076
134.5,2087
135.5,2306
136.5,3215
137.5,1975
138.5,1376
139.5,882
140.5,525
141.5,367
142.5,299
143.5,255
144.5,237
145.5,335
146.5,625
147.5,1183
148.5,1541
149.5,1867
150.5,1968
151.5,1980
152.5,2089
153.5,2365
154.5,2376
155.5,2244
156.5,2112
157.5,2034
158.5,2104
159.5,2149
160.5,2162
161.5,1846
162.5,1296
163.5,803
164.5,514
165.5,359
166.5,293
167.5,249
168.5,247
169.5,340
170.5,611
171.5,1131
172.5,1495
173.5,1832
174.5,1961
175.5,1975
176.5,2063
177.5,2319
178.5,2390
179.5,2312
180.5,2155
181.5,2122
182.5,2124
183.5,2194
184.5,2142
185.5,1842
186.5,1291
187.5,830
188.5,529
189.5,329
190.5,282
191.5,254
192.5,241
193.5,332
194.5,606
195.5,1149
196.5,1491
197.5,1830
198.5,1931
199.5,1908
200.5,2007
201.5,2246
202.5,2320
203.5,2214
204.5,2144
205.5,2023
206.5,2002
207.5,2134
208.5,2120
209.5,1758
210.5,1280
211.5,836
212.5,518
213.5,351
214.5,284
215.5,252
216.5,237
217.5,327
218.5,595
219.5,1123
220.5,1453
221.5,1765
222.5,1846
223.5,1805
224.5,1834
225.5,1957
226.5,1933
227.5,1823
228.5,1753
229.5,1631
230.5,1592
231.5,1727
232.5,1695
233.5,1570
234.5,1283
235.5,919
236.5,612
237.5,418
238.5,326
239.5,265
240.5,232
241.5,243
242.5,312
243.5,465
244.5,759
245.5,1115
246.5,1418
247.5,1562
248.5,1657
249.5,1726
250.5,1700
251.5,1735
252.5,1771
253.5,1666
254.5,1608
255.5,1658
